HomeTeam;AwayTeam;DateTime;FTHG;FTAG;HGE;AGE;HPB;APB;HTG;ATG;HCG;ACG;HCF;ACF;HCB;ACB;HFC;AFC;HES;AES;HIP;AIP;HLC;ALC;HDG;ADG;HFT;AFT;HCV;ACV;HCA;ACA;HPT;APT;HPC;APC;HATK;AATK;HATKP;AATKP
Atlético-MG;Fortaleza;01.11.2023 21:30;3;1;2.29;0.40;56%;44%;11;7;4;2;4;4;3;1;13;11;0;4;1;1;19;17;1;1;10;13;-;-;0;2;481;367;398;299;127;93;48;23
Botafogo;Palmeiras;01.11.2023 21:30;3;4;2.94;1.65;43%;57%;17;14;9;6;7;3;1;5;15;10;2;6;0;3;13;22;2;6;12;12;1;0;6;5;330;475;276;402;80;95;25;52
Coritiba;Grêmio;01.11.2023 20:00;1;2;1.30;1.72;50%;50%;13;19;2;4;8;10;3;5;6;9;6;11;0;0;16;22;2;1;11;6;1;0;3;2;410;435;319;333;119;115;42;62
Flamengo;Santos;01.11.2023 20:00;1;2;1.09;0.60;54%;46%;7;15;4;5;1;8;2;2;18;13;1;6;0;2;19;15;3;3;13;16;2;1;2;3;536;344;473;286;124;87;25;40
Corinthians;Athletico-PR;01.11.2023 19:00;1;0;0.92;0.59;46%;54%;12;19;4;3;5;10;3;6;13;6;1;7;2;3;17;18;3;3;4;11;-;-;1;2;448;544;377;451;92;118;33;57
Internacional;América-MG;01.11.2023 19:00;1;1;1.28;0.28;58%;42%;15;12;4;3;11;6;0;3;15;15;3;5;0;2;24;15;2;3;15;14;-;-;0;2;520;384;429;302;120;119;49;37
Bahia;Fluminense;31.10.2023 19:00;1;0;0.45;0.73;44%;56%;8;12;5;4;2;8;1;0;16;15;2;4;1;1;18;22;4;4;15;16;-;-;2;3;404;518;339;430;89;124;32;49
Botafogo;Cuiabá;29.10.2023 20:00;0;1;1.64;1.12;62%;38%;30;5;9;1;13;2;8;2;15;11;7;2;2;4;26;15;0;9;12;17;-;-;1;5;634;288;543;214;131;83;99;24
Corinthians;Santos;29.10.2023 18:30;1;1;1.44;1.14;56%;44%;15;8;6;3;9;3;0;2;12;21;10;3;3;1;30;18;2;5;22;14;-;-;6;2;456;294;363;215;111;100;49;43
Internacional;Coritiba;29.10.2023 18:30;3;4;2.59;2.49;55%;45%;18;12;10;7;6;4;2;1;17;11;5;1;0;1;23;15;3;7;13;18;1;0;7;5;449;285;371;229;101;75;54;24
